Rating,Review_Text,Usability,Price,Size,Service,Quality,Aspect_Terms,Aspect_Sentiment
1,ahi: i am 116 lbs. but after 4 kids (a set of twins) the tummy was not the same. squeem gives me a beautiful shape under my clothes...never look better. the only downfall it does not cut inches off or make you loose any body fat..after its off all the bulge comes out. it makes you look great thou...don't leave home without it.works very well,works,,,,,works,POSITIVE
0,incrediby difficult to put on: with the type of closures and the amount of compression it is meant to give it's really difficult to put on. you need a hand to pull it closed in order to actually be able to close each of the 20 some odd hooks.,pull,,,,,pull,NEGATIVE
0,"squeem: i ordered according to the size chart for my measurements and it was way to small!! very uncomfortable.i returned it,",uncomfortable,,"small,size",,,"uncomfortable,small,size",MIXED
1,"a bit uncomfortable...: i had to exchange the size but the small is still _really small_. it gives me a nice shape but i should probably be wearing a medium. i am a size 6 with a belly left over from a 25 pound  loss. it's tedious to put on and i'm exhausted when i finally get that last hook hooked! there has to be an easier way! the back support you get is awesome but sitting in it can get uncomfortable after a while. i recommend wearing it over a light  tank of some kind. the material used irritated my skin a little bit and it made me sweat a little. should you buy it? if you are tolerant of the ins and outs, then go for it. it was inexpensive.","uncomfortable,wearing,",inexpensive ,"small,medium,size,pound",exchange,material,"uncomfortable,wearing,inexpensive ,small,medium,size,pound,exchange,material",POSITIVE
1,"this is the one: i'm fairly tall and this could go on someone taller then me, with no problem. i love that you can't see it under clothes. i notice my back feel better with it on, my posture improves, and i look good in my clothes. i love this!",feel,,"taller,tall",,,"feel,taller,tall",POSITIVE
1,really love it.: does the job and i feel the tightness. thanks for making a change that is a big difference for me. i would recommed others to buy it.,feel,,tightness,,,"feel,tightness",POSITIVE
1,"wow!: all and all this is a very nice product. it really holds in those unwanted mid life bulges and it looks smooth under your clothing. it sort of helps your posture when sitting at a computer for very long hours. the inner cotton lining feels nice against the skin and it appears to move moisture,although not totally, away from your skin. now mind you it is pure rubber, yes i said rubber, so make sure you wash it thoroughly, also it will take two days to air dry.i brought one with straps and bought the strapless one from amazon......much cheaper than a boutique.cher!",holds,cheaper,,,rubber,"holds,cheaper,rubber",POSITIVE
0,"not the shape i was going for....: i have ordered the squeem on three different occasions, trying a large, medium and small as my size changed after having twins. unfortunately, i was disapointed every time and i returned it after trying it on. i don't know why i kept trying aside from desperation. it just gave me a very weird shape. sure, it cinched in my waist at the sides but what i needed was to flatten my muffin top. i basically felt as if it squeezed my waist in and pushed all my ""excess"" down into the lower half of my torso making my muffin top even worse. i'm giving the product the benefit of the doubt with two stars thinking maybe it's just my body type that is the problem. i have a long torso at 5'10 and 140lbs. great product in concept but didn't work at all for me.","squeezed,pushed",,"large, medium, small,size",,,"squeezed,pushed,large,medium, small,size",MIXED
0,"bones: this product does suck you in great !! but the bones in here tore back back up, i had all kinds of bruising when i took this off after wearing it all day, they need to make one smooth with out the bones.","bruising,wearing",,,,smooth,"bruising,wearing,smooth",MIXED
1,"magic: after 3 c sections, i need all the help i can get. i started with the size large (when i was a size 12). i have moved on to the medium (i am between 8-10 now). the medium is really tight, but does the job. i prefer the large day to day because i have 3 children under 6 to run after, and it is a bit more comfortable for that. these things are really great. i can't believe i didn't know about them after my first 2 c sections. they should send all women home with them after giving birth!",comfortable,,"size,large,medium",,,"comfortable,size,large,medium",POSITIVE
0,"wrong item shipped!!!!!: i ordered this waist cincher specifically to wear on my wedding day with my beautiful sleeveless dress. unfortunately, they shipped the wrong thing, and now i am stuck with a big, bulky and hideous vest! it has very ugly racerback straps, and i will definitely not be able to wear this under my dress. and the worst part, i'm out the money! i can't even return it for a refund, even though i haven't opened the box. very disappointed in this company. buyer beware!",wear,money,"big,bulky"," shipped,refund,return",,"wear,money,big,bulky, shipped,refund,return",NEGATIVE
0,"sizing is ridiculous: i measure as a small and the small and medium did not fit. update: i ordered a large and wore it for 2 days and it stretched too much. i am not sure this will help, but i have worn the item so i cannot return the large. i am not any smaller than when i began so the large did stretch and did not shrink my waist and/or hips.","wore,worn",,"sizing,small,medium,fit,large",return,,"wore,worn,sizing,small,medium,fit,large,return",NEGATIVE
0,"so what is the sizing?: i ordered a 3x, because that's the size that the website said to order, it came and lacked about 8 inches closing....so i looked at the package and it says i should have ordered a 5x...seemed extreme, but i exchanged it.i was very impressed with the speed of the exchange, i'll say that....however, when the 5x arrived, it's so big it just gaps and falls off? so, was the 3x mislabeled, or is this 5x mislabeled? i'm needing something with some firm support for post surgery care....so i really don't know what to do at this point?",,,"sizing,inches,big",exchange,,"sizing,inches,big,exchange",MIXED
1,"best money i ever spent on shape wear: i received mine today and i squeeled with delight when i heard the door bell ringing for delivery. i immediately put it on. it does take some muscle power..but no where as hard as i was expecting to get it on. it sucks, tucks and hold!!!!! my s/o was giving me the side eye..he didnt get my excitement , this was just another one of my many purchases. but!!! but ladies and gentlemen ***for the man who is looking to buy a gift their lady will love** when i started trying on my dresses he exclaimed ""wow!! it does take off a few inches of the waist""...i love it. i have been walking around the apartment in it and i have been sitting and standing with no problems. well it does force you to sit upright. which is great!..small waist and fabulous posture...i can't complain. i am loving my squeem!!!!!!!!!!!!!!!!!",,money,,,,money,POSITIVE
1,works great: bought it 3 months after pregnancy with twins. i had gone down to my pre-pregnancy  but my tummy was still not firm. used the belt and reduced the waist to pre-pregnancy size after wearing it 8 times.,used,,,,,used,POSITIVE
0,"great at first...not so good over time: perhaps i got a bad one? a factory second? for the first 3-4 days i wore mine, it was great, just as advertised, helped me fit into those pants that are just a tiny bit too snug around the waist. i was very happy and it helped me concentrate on my posture, too, although it was very difficult to turn in the car seat when backing out of a parking space! however, i put it on today, and while my left side is all smooth and nicely held in, the support thing (bone or whatever) under my right breast seems to have lost all its firmness. my entire right front is pushing outwards on that, making a vertical bulge; whereas my left side is still firm and compressed. i don't know what could be happening.","wore,pushing",,tiny,advertised,,"wore,pushing,tiny,advertised",MIXED
1,"recommend this: i used this product 19 years ago after my pregancy while working out and getting back to shape. i had a slimmer waist within weeks. you tend to sweat and lose inches having this on. it is a bit uncomfortable at first and it takes getting used to, but i would wear it only while working out. otherwise, i would take it off.19 years later, after having my second child, i was looking for the same waist cincher which i just received and began working out with it. i am a firm believer this will bring my waist to where i was prior being pregnant with my workouts. it is well made and sturdy. the metal hooks never pinch nor they unhook while doing exercising. i recommend this product.","uncomfortable,working",,,,sturdy,"uncomfortable,working,sturdy",POSITIVE
0,"boning is not a plus: it holds things together but the boning gets uncomfortable, would have been better without it. it also folds in with the fold of my stomach, which i didn't want, so it doesn't get that pooch area as well as i would've liked. i guess if you just want to tuck things in to wear a dress this would be good, thats about it.","holds,uncomfortable",,,,,"holds,uncomfortable",MIXED
0,"pass: the sizes run really small, it flips up even though, they said it would not and the hooks don't hold. i am very dissapointed.",hold,,"sizes,small",,,"hold,sizes,small",MIXED
1,love this!: i'm training my waist to lose inches. i used to always buy fajas which are very uncomfortable and takes alot of getting used to. i wear them most of the day and throughout the night. this one is more comfortable (as something squeezing u can be) and looks good under certain clothes. i like that the inside is a rubbery material that helps u sweat. it speeds up the  loss process. i plan to buy the next size down soon because my waist has already shrank! i probably will buy the one with the straps next time because the strapless does kinda push ur back fat up and with certain clothes you can see it. all in all it's a great product and the most comfortable cincher i've ever bought.,"uncomfortable,used,wear,push",,"sizes,small",,"rubber, material","uncomfortable,used,wear,push,sizes,small,rubber,material",POSITIVE
0,"poor quality: i purchased this item to wear postpartum. i love how it fits and how well it smooths things out post baby. the major downside to this is the poor quality. the eye portion of about five of the hook/eye closures has come out entirely. i know that this is not a sizing issue because i followed the sizing for the product and it's only select ones that appear to not have been sewn as well as the rest. very disappointing for what would have otherwise been an awesome product that i could recommend to others, to instead be a waste of my money!",wear,money,"fits,sizing",,quality,"wear,money,fits,sizing,quality",MIXED
1,"squeem perfect waist, firm compression: i'm a 100% satisfied with the squeem magical lingerie shapewear. it delivers what it promises, everything that describes the product it's true. it reduces about 2 inches instantly, it hardly shows with thin clothes, it doesn't let me eat a lot and i feel full the rest of the day, it recommends to wear it about 8 hours but i can even sleep with it, the only thing is that i get marks like when wearing thigh socks, it gives me a smaller waist than what the picture shows, and it's the perfect length for my core.i'm 5'3, i tried another brand before but it was too long for me, i could feel the wires poking specially when bending down. i recommend to measure yourself before ordering any brand.once i get used to this one, i'm planning to order the ""extra firm compression"". it gives more back support and it will reduce the waist even more!",wear,,measure,,,"wear,measure",POSITIVE
0,"not the best shaper: this would be great if it had boning in it. i am not sure if this os because i have a very pronounced hour glass figure, but when i put it on, the fabric slides the the waist and it has the same effect as if i had a rubber band aroun my waist, forming a bulge above and below my waist. too bad- i had hoped this would work based on reviews.",put it on,,,,fabric,"put it on,fabric",NEGATIVE
0,"it works, but....: my size medium was true to size. this made my waist smaller and while i had it on, i didn't eat as much because of the pressure, it makes me feel full; however, all of the cinchers do this as it is its purpose. i did like the fact that it's shorter from the lower back and a bit longer on the tummy... buttt... a huge but for me... what i didn't like was that it made big bulges of fat on my upper back (eewww!)... and i don't even have back fat!!! so to me this defeats the whole purpose! all it did was cover my stomach fat but gave me back fat!!! also, what's going on with the price increase?? i just bought this 3 weeks ago for $30, now it's $45!","works,feel",price,"size,medium,smaller,shorter,longer,big",,,"works,feel,price,size,medium,smaller,shorter,longer,big",MIXED
1,"squeem: i like it because it came as i was expecting that , and really helped to save money compare to other stores",,money,,,,money,POSITIVE
0,product defective after 1 day of use: the product overall was comfortable and did shape nicely. the problem is that after only 1 day of wearing the product was bunched at the waist and the interior supports were bent without repair. i contacted the company and they did say i had the correct size and to wear a tank under the squeem to help with bunching. this didn't help the bent supports and i returned the product.,"comfortable,wearing",,size,"contacted,company","repair,defective,","comfortable,wearing,size,contacted,company,repair,defective",MIXED
1,"a great buy!: after baby #2 i knew i wanted to try binding as a form of getting my tummy back as soon as possible. i am so glad that i bought the squeem, it really does cinch your waist giving you an unreal hourglass shape. i began wearing mine 1 week postpartum and people just couldn't believe that i had just had a baby. now that i am 7 months postpartum, i wear mine to the gym for extra back and abdominal support. it has really helped give me my old shape back and even seems to have nipped in my waist more than it was before!","wearing,wear",,,,,"wearing,wear",POSITIVE
0,"no,no,no this is not for me.....: i own the vest squeem and i absolutely love it!!!!! but this waist cincher is not for me. i'm not gonna say don't buy it because alot of women are shaped different.i just got it yesterday and i'm sending it back. it fit well until my back fat overlapsed over the top of the cincher and thats not attractive at all. so if you know you have more than enough back fat, this is not for you. i tried to adjust it by pulling it up or down and that didnt even help. i wear a size medium, so its my correct size. but it doesnt give me the full coverage support that the vest gives me. the vest covers all the back fat and everything. but i still give squeem thumbs up though!!! :-)",pulling,,"fit,size,medium",,,"pulling,fit,size,medium",MIXED
1,"can't go wrong with this item!: i recently purchased the power cotton & rubber waist cincher, and loved it so much i thought i'd give this one a try as well. as far as the smell, it's very faint. washing it prior to use and putting plenty of dryer sheets in should help the smell diminish pretty quickly. the fit was nice & comfortable. but it's not a solid black like you'd assume. prepare for a charcoal black/gray color for the exterior. the interior rubber will make you sweat ladies, so get ready to have a sticky abdomen at the end of the day. the same thing with the waist cincher, the back begins to bunch up and make wrinkles after a few days.overall, great product.",comfortable,,fit,,wrinkles,"comfortable,fit,wrinkles",POSITIVE
0,"would be great but...: the package says it goes from lower belly to just under bust. i am a short woman and it doesn't reach my ribs leaving me with two huge rolls of fat on the front and back. it takes me in great, love that about it but because it isn't long enough i can't wear it anywhere:(",wear,,short,package,,"wear,short,package",MIXED
0,"works but uncomfortable: held my tummy in when i tried it on but was way too stiff...the boning and the hooks showed through, so could not even wear it inside a tshirt. was tough to wear and i was scared of pinching myself while wearing it","uncomfortable,wear",,,,stiff,"uncomfortable,wear,stiff",NEGATIVE
0,"major let down!: i bought this product based on the positive reviews. i wish i hadn't bought this waist cincher. the bottom of the cincher ends in a weird triangle, which goes about 4 inches on my thigh, the bottom wrinkles up and looks ugly, it is extremely visible under a normal t-shirt, and it looks terrible if you sit down while wearing it. this looks decent (barely) when you're standing up, and you might as not wear it if you ever need to sit down. the length is way off, it goes 4 inches down to my thigh and up to an inch from my armpits. i'm 5'3 and  125 lbs. this looks terrible and i'm sending it back the same day it was delivered. save your money.","wearing,",money,inches,,wrinkles,"wearing,money,inches,wrinkles",NEGATIVE
1,awsome!!: really a life saver when it comes to go to a nice party and try to look spectacular especially for me that i give birth 7 months ago and i'm still try to work out the few pounds and belly i have left from that :) really i recomended. money well spend it,work,money,,,,"work,money",POSITIVE
0,"wasnt worth: i bought a pink rubber squeem which had a seperate cotton cloth . that worked well, but i wonder why i dint buy the same and ended up with this. this product hurts me on my left hip and i got scars on my left hip.. :(",hurts,,,,rubber,"hurts,rubber",NEGATIVE
1,"great therapeutically as well as great for fashion!!!: i had two reasons for the purchase of this product, one was for my spine difficulties thanks to a severe injury many years ago & the other was pure vanity! but it has surpassed my expectations for both reasons! it is ever so comfortable and makes me look great so i feel beautiful!!! i just cannot express in words how great this product is!!!",comfortable,,,,,comfortable,POSITIVE
0,not so much: product is as shown but they didnt have it in stock and it took them almost a month to ship. and then instead of sending next day to compensate they sent it regular mail so it took another week to receive. not too happy with their customer service.,,,,"ship,service,customer",,"ship,service,customer",NEGATIVE
0,"burn rubber on me: i went by the squeem chart and my waist measurements to find the correct size but to my suprise the waist cincher did not fit. warning, you cannot return for a refund; only merchandise credit/exchange. also, the cincher smelled like burnt rubber. very bulky and will be visible through clothing so you cannot wear with tight fitting clothing.",wear,,"fit,size,measurement","refund,exchange","smelled,rubber","wear,fit,size,measurement,refund,exchange,smelled,rubber",MIXED
0,"not worth the price...: i bought this to slim down my tummy under a bridesmaid dress. first, it smelled horrific and still stunk like rubber after washing. second, it did almost nothing to slim me down, even though i bought the suggested size. third, after about a half hour of wearing it, it was absorbing sweat and making me feel clammy and uncomfortable. it was extremely uncomfortable to sit down in, and the boning showed through the relatively thick cotton of the dress. i abandoned it completely and felt much better.","wearing,uncomfortable",price,size,,"smelled,rubber","wearing,uncomfortable,price,size,smelled,rubber",NEGATIVE
0,"torture: too tight,wanted to help me get back in shape after my baby, couldn't even close the whole thing!returned it asap",,,tightness,,,tightness,NEGATIVE
0,"squeem: the product states that inches will be removed after 30 days of use and i have worn this item everyday for at least 12 hrs per day and i have not seen any kind of difference.for the price of the item, it is disappointing when it advertises and does not comply.",use,price,,"advertises,comply",,"use,price,advertises,comply",NEGATIVE
1,"i'm very impressed so far: so i just got mine today and i put it on right out of the box. like some have said, takes a few minutes to get used to it. i've been wearing it for 5 hours now and i just love it. it covers everything that needs to be covered (and i am long-waisted). it stays put, which i love. it's comfortable. it makes my waist look great and flattens my stomach ""pooch"". it's comfortable enough to sit in. best of all, instant posture makeover and it is easing my lower back pain by providing support. i'm looking forward to wearing this for a long time and already foresee a black one in my future. i wonder if i can wear it on my runs? hmmm... also: i have a size 31 inch waist and the medium fits perfect on the first loops. just take your measurements before you order. hopefully, as i lose  (from my running/training program) i can cinch it to the tighter loops and get a little more use out of it. well... then i'll just have to get a size small! i love it!","wearing,used,comfortable",,"fits,measurement,tighter,size,small",,,"wearing,used,comfortable,fits,measurement,tighter,size,small",POSITIVE
1,"not for everyone: i was really excited to try this, however it is not for everyone. i have a ""flat"" stomach just flabby and then i have ""love handles"" so i thought this would just hold everything in but that's not how it worked for me. it feels great when i have it on but when i look in the mirror i have this pooch in the front that i didn't have before. it takes the extra from the sides and puts it all in the front. i think i would rather have the love handles. i do like the way it feels and the back support is great so i only wear it with baggy shirts. (not exactly why i bought it but o well). i still gave it 4 stars because it is still working for me, just not how i thought it would.",wear,,,,,wear,POSITIVE
1,"squeem:> a combination of scream and squeeze?: i first ordered size x-l, but that was too big, so i returned it and bought a l. the first couple of wearings were difficult, but then the product becomes slightly stretched and begins to conform slightly to your body. i do wear a stretchy tube underneath it (sort of like the top part of panty hose). i try to wear it while i am standing or walking around. it is not comfortable to wear while sitting. for me, i think it would be more comfortable if it were about one inch shorter, as i think my torso is shorter than most. i do think it is helping, but i need to wear it for more hours. i am thinking of wearing it while i sleep, rather than in the daytime, but i have not tried that yet. the product is well made.","wearing,comfortable",,"size,big,inch,shorter",,,"wearing,comfortable,size,big,inch,shorter",MIXED
1,"excelent product!: this product does what is said in the description, my waist got smaller and i can stand for hours withoutfeeling any pain on my back. my work requires a lot of lifting this product help protect my back. i love it! is my second buy. the price is also good, the first one i got cost me $55 this time i paid $36 for it.",lifting,price,,description,,"lifting,price,description",POSITIVE
0,"hard to put on: the shape wear is difficult to put on and you can see the seams through your clothes. it is hard to bend over, especially as a school teacher! i would definitely like to try brooke burke's belly taut instead of this old school shapewear!",put on,,,,,put on,MIXED
0,"why does everybody rave when....: this product sucks!it doesn't completely suck... the 2 days i was able to wear it before the boning snapped in half it did compress pretty tight. as many people have noted, it is hell to get into this the first time.i liked that this wasn't a body suit and the rubber on the outside would keep my shirt from sliding up.butthis garment:1) rides up- if you move a lot it will eventually slide up your waist2) leaves a huge crease on the skin above your waist-- and it hurts3) makes you look like a sausage when you sit down: visually divides your belly in half when you sitas i said i only wore this twice, first time i wore it for about half hour and the second time i had worn it for several hours when the boning snapped in half and was poking into my side (ouch!! )returning this!!!","wear,wore",,"tight,",,rubber,"wear,wore,tight,rubber",MIXED
0,"uncomfortable!: it was really easy to put the squeem on, but once it was on i couldn't wait to get it off!! it wasn't too tight or anything. the problem was that once i stood up straight it bunched up in the hip/mid back area and pinched my skin! it was so painful! no matter how i positioned it, it would bunch up! really disappointed since it was a waste of $50..",uncomfortable,,"tight,",,,"uncomfortable,$,tight",NEGATIVE
0,"great idea, poor design: this shape-wear is the best i've had until now regarding easiness to wear and put-on. it does a great job at keeping the post-pregnancy flabby belly under control. however, after about 2 months of daily use, the metal that gives the support is coming out from the fabric. it seems that the metal is rubbing out the fabric and thins it enough to come out. i wish there was a better designed support for this binder. otherwise, it is awesome - good looking for such lingerie. so, if you buy it, expect 2 months of wearing it without problems...","wear,use",,,,fabric,"wear,use,fabric",MIXED
1,best shapewear: it the best shapewear says what it does everyone ask how you look so small bought 3 for friends loveit,,,small,,,small,POSITIVE
0,waste of time for me: i really wanted this item to work because everybody seemed to love it. it didn't hold anything in on me and it gave me back boobs. waste of money for me.,work,money,,,,"work,money",NEGATIVE
0,"not ok!!!: when i ordered this i thought it would allow me to wear some clothes that i haven't been able to do in a while because of my  gain.i am a woman who has size 40d in breasts so i wear a large in tops and i wear a size 8 in pants, and  140lbs. it is suppose to clinch your waist and give you a nice looking figure. well, it did hug my waist, but it also gave my a muffin top. not a shape a woman wants to have. i looked better without wearing it. it folds into your folds creating a bigger fold at the top of your body. i would say this item is more for the extremely skinny female who has small breasts', no hips, or ass. not for a woman who has large breast, hips, and ass. not for women who are going through post-pregnancy either. for a product thats is suppose to make you feel good about yourself, it failed.",wear,,"size,large,medium",,,"wear,size,large,medium",MIXED
0,"not worth the pain it causes: squeem shapewear definitely does the job of sucking you in. however, i found that the rods painfully poked me on the side and ultimately resulted in a wound. not worth the pain.",does the job,,,,,does the job,MIXED
1,"i love it!: it does what it is supposed to do making you look slimmer in the waist area. my grandmother even notice it, and she didn't even know i bought it. it really makes you look smaller in that area of your body. i would most likely buy another one but next time in a small not medium.",,,"small,medium",,,"small,medium",POSITIVE
0,"disappointed: i think this is a case of my expectations being too high. i was so encouraged by the great reviews of this product, i really was expecting a miracle. after only wearing this twice, it is stretched out. at first, i thought perhaps it would regain it's shape after a few hours but nope! it's no better than a cheap, fashion corset. it will smooth things out so there's less bulging under the clothes but i was looking for a real ""waist trainer"", something that would go on tight and stay tight. considering i found this product when i searched specifically for ""waist trainer"", i would say the claims of this product are misleading. it is shapewear, it is not a ""cincher"" or a ""trainer"".",,,tight,misleading,smooth,"tight,misleading,smooth",NEGATIVE
0,"itchy: i washed it before used it for the first time. the next day i wore it, i found my skin were itchy all over place on my stomach. and i feel that the heat on my body trapped on that.","used,wore",,,,,"used,wore",NEGATIVE
1,"i love it..: i realy love my shape wear, i got one for myself and one for my daughter and she's notice a big difference,love the price",,price,,,,price,POSITIVE
1,"wow, ow and what's that smell?: i have been using this for 3 weeks now and while i have seen no difference in my measurements, my posture is definitely improved. i have also lost about 6 pounds, which is likely due to my combination of diet and exercise, but i have also been wearing the corset at least 4 days a week for up to 9 hours at a time.i am 5'9"" 150 pounds and i bought a size small and it fits how it should, super tight. i look forward to eventually going in to the second hooks.my only complaint is the smell. it smells like rubber and while i hope no one around me really notices, i notice. i wear a wrap around my midsection underneath it, but after all day the smell still gets on and stays on my skin.otherwise, the construction is super sturdy and i anticipate only needed one for a long time. hopefully the smell will fade with more hand washes...",wear,,"size,small,tight",,smell,"wear,size,small,tight,smell",POSITIVE
1,squeem is pretty good: i have a 28-29 inch waist normally. should've started with a size small. the xs seemed a bit smaller than described. definitely gets the job done in cinching the waist!,,,"size,small",,described,"size,small,described",POSITIVE
1,"snug fit: great product for giving you that snug fit...it does become very uncomfortable around the waist line if worn to long. i really do like this item, the only big issue i have is the fact that you can see the snaps through your clothing...so i suggest not wearing this with a tight fitting dress or shirt, because everyone will know your secret!","uncomfortable,wearing",,fit,,,"uncomfortable,wearing,fit",POSITIVE
0,"poor quality and lousy customer service: the squeem is a great idea, but their quality is second rate, and their customer service is worse than useless. i'd owned mine for about 4 weeks and worn it only a few hours a day when i noticed that a seam was coming unstitched. the threads aren't frayed; they're unstitching from the seam.contacting customer service has been an exercise in futility. they've asked for pictures of the damage, and then failed to respond to the pictures, or any further attempts to contact them.for what this costs, it needs to last longer than 4 weeks.",worn,costs,,"customer,service,contacting,respond","quality, last longer,damage,","worn,costs,customer,service,contacting,respond,quality,last longer,damage",NEGATIVE
1,very sturdy: this item is very sturdy and holds in the belly area better than another softer belt i have. the measurements seem true to size and there are two rows of hooks so you can adjust if you lose some .the only negative points are that the item smells badly of rubber when new. it must be washed before wearing. the other is that all that rubber can make you sweat. but those are minor complaints if you want to look good for an evening. the belt also helps me sit straight so i think it's good for the back as well as the front.,wearing,,"measurement,size",,"smell,rubber","wearing,measurement,size,smell,rubber",POSITIVE
0,"worked for 5 days then broke: i liked how it pulled everything in! i felt fantastic for about 2 hours. it really flattens the tummy area, which is all i really want, but you can see the hooks threw clothes :( i felt like that ruined it for me, also i had to keep pulling it up. it bunches in the back, and really smells like rubber. after about 5 or 6 days one of the ""bones"" on the inside broke and was stabbing me in the side! it really hurt. i would not recommend this product.","felt,pulling",,,,broke,"felt,pulling,broke",NEGATIVE
1,does its job: recommend itit really slim out my waist line clearly cleanly.hope i could buy it in beige color. could be little cheaper,,cheaper,,,,cheaper,POSITIVE
1,squeem: love this product. i wear it when i am doing my cardio to help with  loss. it is true to size.,wear,,size,,,"wear,size",POSITIVE
1,"so far so good!: i've only worn this for a day so far, but i love it! i still have a little bit of a tummy from the birth of my son 8 months ago. this really holds you in, its comfortable and i don't think it shows through your clothes! i highly recommend!!","worn,comfortable",,,,,"worn,comfortable",POSITIVE
1,"makes me look like a i have a perfect hourglass figure: i love how this product makes me look in my clothes!!! its shapes me into a perfect hourglass! i dont know if the claim that it permanantley reduces your waist after 30 days is true because i havent had it that long. my only complaints are that it is a little too short, so i still have a small bulge over the top in vthe back and i think it may be stretching out as i wear it as oppossed to it shrinking me, but overall, it is the best shapewear i have ever purchased. i love it and would recommend it to anyone.",wear,,short,,,"wear,short",POSITIVE
1,simple quick fix: i bought this product to slim my waist and i really didn't have big expectations for it at all. i figured i'd wear it under my clothes for a more defined shape. i've been wearing it for a month already and i've seen my waist go down 2 inches! i wear it all day at work from 7:00 till about 3:00. it fit snug in the beginning but after one week i had to go to the tighter hooks and even that is too big now and i may need to buy a small. i actually like wearing it but i recommend wearing a tank top under it because it will start to press into your skin and kind of make you sore ( hence the 4 star rating). i'm very happy with this product for the price. it works better than spanx.,wear,price,"big,tighter,small",,,"wear,price,big,tighter,small",POSITIVE
1,a must have...: this is a must have if you desire a smooth look in shirts and dresses. it also offers great support for your back. it is perfect for everyday wear.,wear,,,,,wear,POSITIVE
1,the squeem waist cincher: the squeem waist cincher was great for about three weeks it does exsactly what it says until the wire that supports the squeem started to come out and the other wire broke on the other side and the squeem started to crease in the waist and stretch out turning it into the scream ! i would say if you get this product it's best to buy two of them so you could switch off and it wouldn't damage as fast but for the three weeks that i had it i was very happy i am going to buy it again but this time i'll get two of them,,,,,broke,broke,POSITIVE
0,"wasn't that impressed........: it didn't do much to slim the midsection and all it does is pretty much push everything up to the top, making your breasts and back look much wider. if i do continue to wear it, it will be around the house or under loose clothes/jackets.",wear,,,,,wear,MIXED
1,"squeeeeeze into your clothes: i really liked the squeem. i'm a petite person, but have some love handles that i need to hide when i'm wearing tight clothes. the only problem is that it has boning which you feel in your ribs when it's tight.",wearing,,tight,,,"wearing,tight",POSITIVE
1,"love it: this works really well. i used it to help get my abdominal wall back together at 9 months post-partum. it's still a bit separated but this definitely helped. i wish i knew about it sooner. it also helps support the back when picking up my child over and over and over again and a good reminder to keep my weak abs pulled in when doing it. great to wear during exercise, again as a reminder to keep the abs in and strengthen them correctly inward. also, it looks hot! and sometimes i wear it out. i wear it with a tank top underneath as suggested in other reviews all the time. suggest getting seamless tanktops otherwise irritation may occur. 27"" waist before pregnancy, 30"" waist when i bought a size medium, 28"" now, and could probably get the next size down if i really wanted...","used,works,wear",,"size,medium",,,"used,works,wear,size,medium",POSITIVE
0,"waste of money: the product worked fine on the first day and now it doesn't work as described on the advert. i've never been so sore (both side) in my entire life. i cannot wear it for more than 2h. other then the product itself, the delivery system was also misleading i choose a 5-8 days delivery when i placed the order but the product was delivered a month later. what made me even more annoyed was the fact that i had to pay for the post charges because apparently the sender didn't use correct stamp or pay the full charge. :@",wear,"money,pay,",,"misleading,delivery,",,"wear,money,pay,misleading,delivery",NEGATIVE
0,"i got burned after few hours wearing it: the first day,( 8 hours wearing it ) it hurt me so bad , my skin was torned, itched, swell, deep red. i tried to wear other side, after few hours, i got deep burned both on the right and left belly, the skin was torned, swell, bleeding, lot of cross cut on the skin, itched for a week until now. it looked like i was beaten up or have skin disease...i am scared to dead when i look at it now. i don't know why i got it , i used something like this before, but i didn't get any bad thing. or the rubber hurt me ?","wearing,used,burned",,,,rubber,"wearing,used,burned,rubber",NEGATIVE
0,does not fit me!: so according to the size chart on the box size small is for waistline 28-31my waist is 28 so i got the smallit does not even come close to being able to close and clasp!maybe it's just me but i am terribly disappointed,,,"fit,size chart,small",box,,"fit,size chart,small,box",NEGATIVE
0,"bulky, feels gross, not worth ordering: i read up on belly-wrapping after my c-section and bought a couple compression tank-tops from wal-mart, which worked nicely. i wanted something without straps and something with more compression and purchased the squeem perfect waist on amazon after reading rave reviews. when i received it and tried it on, it felt disgusting on my skin. it was uncomfortable and totally noticeable (even without a super-tight or thin shirt on), especially when i sat down. the seams and the boning are all very noticeable, and the rubber makes clothes catch and stick in a really weird way, like something would stick to you if you were really sweaty. i have wore corsets for years, and this is by far the grossest feeling and least comfortable thing i have ever put on my body. i returned it immediately.",uncomfortable,,bulky,,rubber,"uncomfortable,bulky,rubber",NEGATIVE
0,caused damage to my stomach muscles!: felt great until it dug into my waist while sitting causing damage to my surgical site. now i'm in pain with and without it on.,felt,,,,,felt,NEGATIVE
1,great product: just what i needed to get me headed back toward my pre-pregnancy waist. bought an xl and probably could have fit into the large. looking to down size soon!,,,"xl,fit,large,size",,,"xl,fit,large,size",POSITIVE
1,great product: great fit. does exactly what it is suppose to. plan to buy more in different colors. sent in good order.,,,fit,,,fit,POSITIVE
1,love it!!: it was everything it was advertised to be. i'm going to get another one!!! got so many compliments at the party that i wore it to. made my outfit look really great!!,wore,,,advertised,,"wore,advertised",POSITIVE
1,"it worked for me..: thought this was not going to fit because i am a 44"" currently and i only ordered xl.. like it very much",worked,,"fit,xl",,,"worked,fit,xl",POSITIVE
0,"not what i expected: this product was not what i expected so i returned it. too tight, sizing was misleading. i'll stick with my spanx.",,,"tight,size",misleading,,"tight,size,misleading",NEGATIVE
